charge_id,start_timestamp_utc,end_timestamp_utc,start_soc,end_soc,delta_soc,duration_sec,latitude,longitude,ambient_temp_c
charge_2026-05-08T030449902719Z_8757_8adfba1b,2026-05-08T03:04:49.902719Z,2026-05-08T07:40:09.902719Z,15,95,80,16520,21.034382,105.821802,27.88
charge_2026-05-09T165807366881Z_2077_dac56319,2026-05-09T16:58:07.366881Z,2026-05-09T20:51:39.366881Z,25,93,68,14012,21.034401,105.82178,30.46
charge_2026-05-11T055755549247Z_1148_802d01da,2026-05-11T05:57:55.549247Z,2026-05-11T10:56:21.549247Z,12,96,84,17906,21.034484,105.821764,32.7
charge_2026-05-14T021749325461Z_2759_c15d199d,2026-05-14T02:17:49.325461Z,2026-05-14T06:30:01.325461Z,32,100,68,15132,21.034396,105.821723,30.26
charge_2026-05-14T191450834911Z_5815_43fafe69,2026-05-14T19:14:50.834911Z,2026-05-14T22:18:10.834911Z,34,90,56,11000,21.034389,105.821837,29.03
charge_2026-05-15T010911257177Z_2357_429b306d,2026-05-15T01:09:11.257177Z,2026-05-15T05:15:00.257177Z,23,94,71,14749,21.0344,105.82177,26.5
charge_2026-05-15T141456474635Z_3798_fd3d9d92,2026-05-15T14:14:56.474635Z,2026-05-15T19:28:29.474635Z,12,100,88,18813,21.034422,105.821723,34.06
charge_2026-05-20T203738654655Z_4392_e7d5bbc2,2026-05-20T20:37:38.654655Z,2026-05-21T00:20:43.654655Z,32,100,68,13385,21.034389,105.82181,29.74
charge_2026-05-21T062830429752Z_4943_b0aa5292,2026-05-21T06:28:30.429752Z,2026-05-21T10:29:54.429752Z,23,93,70,14484,21.034478,105.821855,32.36
charge_2026-05-24T153904359339Z_9602_5d639649,2026-05-24T15:39:04.359339Z,2026-05-24T18:41:42.359339Z,38,91,53,10958,21.034482,105.821835,34.53
charge_2026-05-27T205759815602Z_9208_87c76bc5,2026-05-27T20:57:59.815602Z,2026-05-27T23:08:09.815602Z,56,92,36,7810,21.034427,105.821699,31.68
charge_2026-05-28T224750207760Z_7971_d54dd329,2026-05-28T22:47:50.207760Z,2026-05-29T02:17:00.207760Z,30,90,60,12550,21.034448,105.821812,33.43
charge_2026-05-29T032105942513Z_8477_1abeb7d2,2026-05-29T03:21:05.942513Z,2026-05-29T07:12:03.942513Z,31,93,62,13858,21.034438,105.821803,33.96
charge_2026-05-30T155707209729Z_7407_fbe3ff46,2026-05-30T15:57:07.209729Z,2026-05-30T19:57:07.209729Z,12,81,69,14400,21.034328,105.821766,30.3
charge_2026-05-31T224641355517Z_8557_aabd614d,2026-05-31T22:46:41.355517Z,2026-05-31T23:48:15.355517Z,38,55,17,3694,21.03441,105.821826,29.62
charge_2026-06-01T154654132546Z_8475_e16d34e6,2026-06-01T15:46:54.132546Z,2026-06-01T20:29:02.132546Z,16,90,74,16928,21.034369,105.821836,35.56
charge_2026-06-04T044106212431Z_7518_9ee50c43,2026-06-04T04:41:06.212431Z,2026-06-04T08:53:53.212431Z,26,95,69,15167,21.03436,105.821786,33.74
charge_2026-06-04T125353654677Z_8738_8ceabf57,2026-06-04T12:53:53.212431Z,2026-06-04T17:29:12.212431Z,17,97,80,16519,21.034352,105.821773,32.34
charge_2026-06-05T053425620214Z_1024_76173ac5,2026-06-05T05:34:25.620214Z,2026-06-05T07:12:07.620214Z,18,46,28,5862,21.034488,105.821895,29.58
charge_2026-06-06T151858470629Z_5937_d453246b,2026-06-06T15:18:58.470629Z,2026-06-06T18:55:07.470629Z,33,91,58,12969,21.034487,105.821852,33.13
charge_2026-06-08T054214808688Z_2760_ae25c804,2026-06-08T05:42:14.808688Z,2026-06-08T09:45:40.808688Z,17,93,76,14606,21.034404,105.821828,32.05
charge_2026-06-09T134702204270Z_7090_4e9f8d94,2026-06-09T13:47:02.204270Z,2026-06-09T16:35:11.204270Z,34,82,48,10089,21.034442,105.82172,28.41
charge_2026-06-10T145140207705Z_6781_aaf379c9,2026-06-10T14:51:40.207705Z,2026-06-10T16:55:16.207705Z,25,60,35,7416,21.03433,105.821789,33.46
charge_2026-06-11T031225852673Z_4848_518b3307,2026-06-11T03:12:25.852673Z,2026-06-11T04:20:22.852673Z,72,92,20,4077,21.03438,105.821867,33.13
charge_2026-06-12T222856140184Z_2991_4d5bbb8f,2026-06-12T22:28:56.140184Z,2026-06-13T03:28:00.140184Z,17,100,83,17944,21.034324,105.821765,33.4
charge_2026-06-14T014321769299Z_4876_2d1c179b,2026-06-14T01:43:21.769299Z,2026-06-14T04:14:00.769299Z,26,72,46,9039,21.034386,105.821768,32.43
charge_2026-06-15T020123998384Z_3454_86c6a53d,2026-06-15T02:01:23.998384Z,2026-06-15T04:28:18.998384Z,35,78,43,8815,21.034425,105.82181,31.5
charge_2026-06-16T154258822485Z_9042_9a86b843,2026-06-16T15:42:58.822485Z,2026-06-16T18:52:10.822485Z,28,75,47,11352,21.034352,105.821834,33.72
charge_2026-06-18T230659238611Z_3529_74dd6061,2026-06-18T23:06:59.238611Z,2026-06-19T02:34:00.238611Z,42,95,53,12421,21.034377,105.821839,31.63
charge_2026-06-19T021333586370Z_465_bedd0f33,2026-06-19T02:13:33.586370Z,2026-06-19T03:27:12.586370Z,69,89,20,4419,21.034411,105.821738,32.47
charge_2026-06-21T015414191710Z_5194_a755b999,2026-06-21T01:54:14.191710Z,2026-06-21T03:54:42.191710Z,48,82,34,7228,21.034381,105.821863,27.74
charge_2026-06-22T054235504074Z_1956_b0aeee25,2026-06-22T05:42:35.504074Z,2026-06-22T07:32:59.504074Z,22,55,33,6624,21.034431,105.821894,30.54
charge_2026-06-23T235142761228Z_5018_3aadc804,2026-06-23T23:51:42.761228Z,2026-06-24T00:55:15.761228Z,27,46,19,3813,21.034426,105.821816,32.24
charge_2026-06-24T235745552799Z_2427_c6355bba,2026-06-24T23:57:45.552799Z,2026-06-25T01:22:41.552799Z,26,49,23,5096,21.034285,105.821837,33.32
charge_2026-06-25T032052101381Z_7859_0641fd20,2026-06-25T03:20:52.101381Z,2026-06-25T06:26:41.101381Z,19,74,55,11149,21.034377,105.821782,29.32
charge_2026-06-26T234630941187Z_1119_f1804455,2026-06-26T23:46:30.941187Z,2026-06-27T01:42:46.941187Z,23,53,30,6976,21.034359,105.821793,31.1
charge_2026-06-27T015341504349Z_389_c935f7d4,2026-06-27T01:53:41.504349Z,2026-06-27T06:40:07.504349Z,17,100,83,17186,21.034353,105.821801,30.05
charge_2026-06-28T211931334313Z_2500_c214797f,2026-06-28T21:19:31.334313Z,2026-06-29T01:35:36.334313Z,27,100,73,15365,21.034435,105.821751,32.38
charge_2026-06-29T030155180838Z_1195_1d306942,2026-06-29T03:01:55.180838Z,2026-06-29T07:12:00.180838Z,12,78,66,15005,21.034354,105.821718,28.11
charge_2026-06-29T152709907032Z_9195_77a68749,2026-06-29T15:27:09.907032Z,2026-06-29T17:05:16.907032Z,51,79,28,5887,21.034451,105.821761,31.45
charge_2026-07-01T083819840947Z_1564_9f1f1e34,2026-07-01T08:38:19.840947Z,2026-07-01T13:41:57.840947Z,14,100,86,18218,21.034476,105.82188,30.99
charge_2026-07-02T163503255649Z_1737_51432c15,2026-07-02T16:35:03.255649Z,2026-07-02T20:21:03.255649Z,15,82,67,13560,21.034401,105.821813,34.21
charge_2026-07-03T143707365279Z_7540_f6698e0d,2026-07-03T14:37:07.365279Z,2026-07-03T17:05:55.365279Z,37,82,45,8928,21.034402,105.821764,32.44
charge_2026-07-03T210555610243Z_9834_e46ae56b,2026-07-03T21:05:55.365279Z,2026-07-04T00:00:37.365279Z,50,100,50,10482,21.034411,105.821779,29.67
charge_2026-07-04T032157338846Z_9133_b488f713,2026-07-04T03:21:57.338846Z,2026-07-04T07:18:50.338846Z,16,77,61,14213,21.034401,105.821803,31.28
charge_2026-07-06T142606800808Z_1088_3b861f6d,2026-07-06T14:26:06.800808Z,2026-07-06T15:32:10.800808Z,53,74,21,3964,21.034486,105.821804,33.28
charge_2026-07-07T143434446207Z_4729_8db509d8,2026-07-07T14:34:34.446207Z,2026-07-07T15:59:34.446207Z,22,47,25,5100,21.034401,105.821817,32.43
charge_2026-07-11T022845625788Z_1938_cfb4ca7b,2026-07-11T02:28:45.625788Z,2026-07-11T05:23:29.625788Z,34,82,48,10484,21.034413,105.821757,33.11
charge_2026-07-12T040817381418Z_9846_7d59f4c8,2026-07-12T04:08:17.381418Z,2026-07-12T05:12:37.381418Z,51,68,17,3860,21.034413,105.821858,30.61
charge_2026-07-15T143109173631Z_5883_5ad5a553,2026-07-15T14:31:09.173631Z,2026-07-15T17:42:48.173631Z,18,72,54,11499,21.034418,105.821807,34.19
charge_2026-07-19T224306446407Z_4193_b16f910f,2026-07-19T22:43:06.446407Z,2026-07-20T01:01:00.446407Z,42,81,39,8274,21.034452,105.821867,32.66
charge_2026-07-20T230453102770Z_8358_c1b4be3b,2026-07-20T23:04:53.102770Z,2026-07-21T03:02:25.102770Z,32,100,68,14252,21.034403,105.821802,35.12
charge_2026-07-21T045709327865Z_1511_73a8ffcc,2026-07-21T04:57:09.327865Z,2026-07-21T05:54:38.327865Z,21,38,17,3449,21.034413,105.821786,28.26
charge_2026-07-23T034949928598Z_596_9175ea77,2026-07-23T03:49:49.928598Z,2026-07-23T07:58:35.928598Z,26,100,74,14926,21.034418,105.821875,32.94
charge_2026-07-25T231616890316Z_1607_4640f670,2026-07-25T23:16:16.890316Z,2026-07-26T03:12:38.890316Z,13,80,67,14182,21.034355,105.821755,31.62
charge_2026-07-26T071238652526Z_6812_10c4562c,2026-07-26T07:12:38.890316Z,2026-07-26T09:33:56.890316Z,36,78,42,8478,21.034415,105.821788,33.26
charge_2026-07-29T182324904863Z_8288_8bf8da90,2026-07-29T18:23:24.904863Z,2026-07-29T21:24:22.904863Z,47,100,53,10858,21.034367,105.821783,31.64
charge_2026-07-31T160518117789Z_2882_eba9d878,2026-07-31T16:05:18.117789Z,2026-07-31T18:35:49.117789Z,32,71,39,9031,21.034402,105.82179,30.05
charge_2026-08-04T144032731251Z_7037_2e4a0e5c,2026-08-04T14:40:32.731251Z,2026-08-04T15:35:39.731251Z,65,81,16,3307,21.034409,105.821779,27.95
charge_2026-08-06T225250868585Z_5490_922f8455,2026-08-06T22:52:50.868585Z,2026-08-07T02:47:58.868585Z,34,100,66,14108,21.034376,105.821826,33.21
charge_2026-08-08T190628663604Z_2963_1dd49dfa,2026-08-08T19:06:28.663604Z,2026-08-08T23:15:01.663604Z,23,95,72,14913,21.034465,105.821781,32.94
charge_2026-08-09T200850311070Z_3961_485f6fe8,2026-08-09T20:08:50.311070Z,2026-08-09T22:35:58.311070Z,40,78,38,8828,21.034459,105.821928,34.1
charge_2026-08-10T201416528558Z_8341_1894887e,2026-08-10T20:14:16.528558Z,2026-08-10T22:52:36.528558Z,35,81,46,9500,21.0344,105.821838,31.69
charge_2026-08-15T024143206412Z_9370_b5988541,2026-08-15T02:41:43.206412Z,2026-08-15T06:15:10.206412Z,37,100,63,12807,21.034351,105.821834,31.05
charge_2026-08-16T202410542131Z_8521_76caae85,2026-08-16T20:24:10.542131Z,2026-08-16T22:03:09.542131Z,42,71,29,5939,21.034356,105.821822,27.74
charge_2026-08-17T214620251200Z_2094_9d6b9a17,2026-08-17T21:46:20.251200Z,2026-08-18T01:37:39.251200Z,13,76,63,13879,21.034393,105.82186,29.56
charge_2026-08-19T063024297270Z_9877_0fa3e126,2026-08-19T06:30:24.297270Z,2026-08-19T09:37:06.297270Z,28,81,53,11202,21.034446,105.82181,34.04
charge_2026-08-20T223957978035Z_4694_eae75757,2026-08-20T22:39:57.978035Z,2026-08-21T00:37:16.978035Z,45,78,33,7039,21.034356,105.821763,33.6
charge_2026-08-21T130137334165Z_8457_9dc1630c,2026-08-21T13:01:37.334165Z,2026-08-21T16:31:49.334165Z,18,76,58,12612,21.034419,105.821743,31.1
charge_2026-08-22T220346681661Z_8912_9694659b,2026-08-22T22:03:46.681661Z,2026-08-23T01:53:33.681661Z,33,100,67,13787,21.034487,105.82189,28.85
charge_2026-08-23T040625569297Z_3271_1595f1f2,2026-08-23T04:06:25.569297Z,2026-08-23T07:34:48.569297Z,16,71,55,12503,21.034413,105.821842,28.33
charge_2026-08-23T224105777840Z_1307_a9d0ec94,2026-08-23T22:41:05.777840Z,2026-08-24T03:08:11.777840Z,14,93,79,16026,21.034418,105.821837,28.45
charge_2026-08-24T145448932446Z_8004_e57bac9b,2026-08-24T14:54:48.932446Z,2026-08-24T17:19:44.932446Z,58,100,42,8696,21.034401,105.821828,29.7
charge_2026-08-26T085126488366Z_3760_1da07d76,2026-08-26T08:51:26.488366Z,2026-08-26T10:58:50.488366Z,21,55,34,7644,21.034468,105.821766,31.7
charge_2026-08-27T021918249456Z_9923_4147f87f,2026-08-27T02:19:18.249456Z,2026-08-27T03:48:56.249456Z,54,79,25,5378,21.034362,105.821832,30.13
charge_2026-08-31T220355621079Z_5720_41dcb560,2026-08-31T22:03:55.621079Z,2026-09-01T01:42:28.621079Z,28,90,62,13113,21.034302,105.821711,30.82
charge_2026-09-01T064751608569Z_9624_5a73a763,2026-09-01T06:47:51.608569Z,2026-09-01T09:29:15.608569Z,29,71,42,9684,21.034329,105.821772,27.79
charge_2026-09-02T215230533586Z_7089_f1a71372,2026-09-02T21:52:30.533586Z,2026-09-03T02:04:20.533586Z,28,97,69,15110,21.034347,105.821838,32.17
charge_2026-09-05T131830517307Z_5784_7d345519,2026-09-05T13:18:30.517307Z,2026-09-05T17:15:30.517307Z,27,91,64,14220,21.034444,105.821815,28.24
charge_2026-09-05T211530187129Z_3707_08e894c0,2026-09-05T21:15:30.517307Z,2026-09-05T22:04:12.517307Z,58,73,15,2922,21.034522,105.821792,29.72
charge_2026-09-06T230239136359Z_785_263a70d2,2026-09-06T23:02:39.136359Z,2026-09-07T00:15:18.136359Z,47,68,21,4359,21.034416,105.821888,27.8
charge_2026-09-08T115459156805Z_6228_bf3915a4,2026-09-08T11:54:59.156805Z,2026-09-08T13:03:54.156805Z,60,79,19,4135,21.034456,105.821845,32.27
charge_2026-09-12T205018591107Z_7265_6cc59158,2026-09-12T20:50:18.591107Z,2026-09-12T22:51:09.591107Z,37,70,33,7251,21.034393,105.821723,29.79
charge_2026-09-14T220450650998Z_3617_20dfbae4,2026-09-14T22:04:50.650998Z,2026-09-15T01:11:08.650998Z,20,78,58,11178,21.034426,105.821739,28.3
charge_2026-09-15T140921921203Z_4130_1259b8d1,2026-09-15T14:09:21.921203Z,2026-09-15T17:01:34.921203Z,29,81,52,10333,21.034457,105.821864,28.32
charge_2026-09-19T202607586428Z_8238_a6bd1b60,2026-09-19T20:26:07.586428Z,2026-09-20T00:15:53.586428Z,28,92,64,13786,21.034429,105.821836,32.29
charge_2026-09-20T130656493000Z_4913_cd8681d3,2026-09-20T13:06:56.493000Z,2026-09-20T15:42:33.493000Z,56,100,44,9337,21.034465,105.821796,28.12
charge_2026-09-21T124303820979Z_4338_e301170b,2026-09-21T12:43:03.820979Z,2026-09-21T15:08:38.820979Z,33,77,44,8735,21.03448,105.821818,30.78
charge_2026-09-22T212230141072Z_7476_bf00f651,2026-09-22T21:22:30.141072Z,2026-09-23T00:08:33.141072Z,31,80,49,9963,21.034298,105.821793,29.37
charge_2026-09-26T042317395256Z_7110_24d8d35a,2026-09-26T04:23:17.395256Z,2026-09-26T05:50:54.395256Z,46,71,25,5257,21.034415,105.82181,28.01
charge_2026-09-28T012528316224Z_4537_041714ac,2026-09-28T01:25:28.316224Z,2026-09-28T02:39:38.316224Z,51,71,20,4450,21.034415,105.821792,26.53
charge_2026-09-30T052107112990Z_4767_ff8ac045,2026-09-30T05:21:07.112990Z,2026-09-30T10:08:10.112990Z,23,100,77,17223,21.034459,105.821788,31.34
charge_2026-10-03T203621514837Z_256_f4819658,2026-10-03T20:36:21.514837Z,2026-10-04T00:33:23.514837Z,30,100,70,14222,21.034444,105.82175,22.42
charge_2026-10-06T234052206681Z_2313_68af1124,2026-10-06T23:40:52.206681Z,2026-10-07T03:21:06.206681Z,35,100,65,13214,21.03432,105.821766,24.21
charge_2026-10-07T081103850707Z_9606_a5e52067,2026-10-07T08:11:03.850707Z,2026-10-07T10:58:18.850707Z,29,78,49,10035,21.034406,105.821765,27.37
charge_2026-10-12T101659489263Z_2167_577fdc69,2026-10-12T10:16:59.489263Z,2026-10-12T12:57:22.489263Z,32,76,44,9623,21.034401,105.821848,29.08
charge_2026-10-13T021208455710Z_1731_12f8b102,2026-10-13T02:12:08.455710Z,2026-10-13T04:35:23.455710Z,40,79,39,8595,21.034337,105.821794,25.3
charge_2026-10-14T042459756832Z_1068_7edcfd59,2026-10-14T04:24:59.756832Z,2026-10-14T07:20:08.756832Z,54,100,46,10509,21.034423,105.821811,27.39
charge_2026-10-15T041608121248Z_8481_b3e6e6fb,2026-10-15T04:16:08.121248Z,2026-10-15T06:53:18.121248Z,36,80,44,9430,21.034402,105.821836,22.71
charge_2026-10-18T043103872434Z_7622_c3c19764,2026-10-18T04:31:03.872434Z,2026-10-18T08:02:23.872434Z,34,94,60,12680,21.034321,105.821846,27.23
charge_2026-10-20T193717481248Z_2965_ddb222ec,2026-10-20T19:37:17.481248Z,2026-10-21T00:27:12.481248Z,15,100,85,17395,21.034369,105.821779,23.91
charge_2026-10-21T204027964562Z_1063_79e2c82d,2026-10-21T20:40:27.964562Z,2026-10-21T22:47:48.964562Z,51,85,34,7641,21.034454,105.821771,24.89
charge_2026-10-24T231728895175Z_7724_8f7bd877,2026-10-24T23:17:28.895175Z,2026-10-25T03:50:27.895175Z,18,100,82,16379,21.034387,105.821734,26.8
charge_2026-10-25T064951775373Z_603_8e225765,2026-10-25T06:49:51.775373Z,2026-10-25T08:58:36.775373Z,12,45,33,7725,21.034344,105.82182,28.29
charge_2026-10-25T125836406354Z_7464_af68784b,2026-10-25T12:58:36.775373Z,2026-10-25T15:03:26.775373Z,54,92,38,7490,21.034412,105.821848,27.18
charge_2026-10-26T031558252650Z_398_118b05b6,2026-10-26T03:15:58.252650Z,2026-10-26T05:00:40.252650Z,71,100,29,6282,21.034337,105.821772,28.07
charge_2026-10-29T200702667820Z_6420_5088e8f1,2026-10-29T20:07:02.667820Z,2026-10-29T23:44:51.667820Z,43,100,57,13069,21.034338,105.821793,27.61
charge_2026-10-30T214119957617Z_7672_b942baba,2026-10-30T21:41:19.957617Z,2026-10-30T23:35:58.957617Z,49,82,33,6879,21.034372,105.821772,26.37
charge_2026-11-01T150937932266Z_6856_ea02caf1,2026-11-01T15:09:37.932266Z,2026-11-01T20:09:03.932266Z,15,94,79,17966,21.034345,105.82184,22.51
charge_2026-11-02T140245964829Z_9285_30283854,2026-11-02T14:02:45.964829Z,2026-11-02T18:22:49.964829Z,24,95,71,15604,21.034466,105.821838,21.27
charge_2026-11-06T125857561808Z_1042_ea07a0bd,2026-11-06T12:58:57.561808Z,2026-11-06T16:10:31.561808Z,23,78,55,11494,21.034317,105.821787,22.51
charge_2026-11-10T151119455759Z_2383_14ea28e5,2026-11-10T15:11:19.455759Z,2026-11-10T18:48:57.455759Z,28,91,63,13058,21.034443,105.821714,19.89
charge_2026-11-11T144559107938Z_8612_68e11152,2026-11-11T14:45:59.107938Z,2026-11-11T17:57:58.107938Z,37,95,58,11519,21.03436,105.821832,22.06
charge_2026-11-16T205716133973Z_4357_d213f13b,2026-11-16T20:57:16.133973Z,2026-11-17T01:35:24.133973Z,20,100,80,16688,21.034467,105.821761,20.65
charge_2026-11-19T041106783406Z_320_7e5cb2f7,2026-11-19T04:11:06.783406Z,2026-11-19T07:52:57.783406Z,16,78,62,13311,21.03443,105.821823,21.76
charge_2026-11-20T115040498565Z_1495_728f7e85,2026-11-20T11:50:40.498565Z,2026-11-20T13:40:22.498565Z,23,54,31,6582,21.034383,105.821813,19.43
charge_2026-11-22T134333370244Z_6352_0215d53e,2026-11-22T13:43:33.370244Z,2026-11-22T16:17:08.370244Z,32,79,47,9215,21.034405,105.821712,22.78
charge_2026-11-25T024651527519Z_6124_53717c79,2026-11-25T02:46:51.527519Z,2026-11-25T05:52:43.527519Z,30,79,49,11152,21.03438,105.821754,24.11
charge_2026-11-26T235530110846Z_6417_900bd1e2,2026-11-26T23:55:30.110846Z,2026-11-27T02:01:16.110846Z,50,85,35,7546,21.034269,105.821856,22.7
charge_2026-11-27T023442756801Z_4776_c27fa5a5,2026-11-27T02:34:42.756801Z,2026-11-27T05:56:10.756801Z,46,100,54,12088,21.034439,105.821835,17.95
charge_2026-12-01T045651691007Z_6224_79ca4748,2026-12-01T04:56:51.691007Z,2026-12-01T07:08:40.691007Z,44,80,36,7909,21.034302,105.821785,14.61
charge_2026-12-02T124545226227Z_5248_377119fc,2026-12-02T12:45:45.226227Z,2026-12-02T16:03:51.226227Z,19,75,56,11886,21.034387,105.821776,21.86
charge_2026-12-02T200351268376Z_1483_5d0b001d,2026-12-02T20:03:51.226227Z,2026-12-02T23:01:52.226227Z,29,80,51,10681,21.034386,105.821807,18.2
charge_2026-12-04T002714402222Z_3840_4008ed84,2026-12-04T00:27:14.402222Z,2026-12-04T03:17:58.402222Z,23,70,47,10244,21.034409,105.821767,15.39
charge_2026-12-07T005836322409Z_6359_eed3fc8b,2026-12-07T00:58:36.322409Z,2026-12-07T03:23:01.322409Z,31,74,43,8665,21.03437,105.821822,13.5
charge_2026-12-12T120650561202Z_4800_59c2df5f,2026-12-12T12:06:50.561202Z,2026-12-12T13:17:29.561202Z,20,41,21,4239,21.034399,105.821772,18.56
charge_2026-12-12T171729976555Z_4537_34b8e800,2026-12-12T17:17:29.561202Z,2026-12-12T20:35:42.561202Z,18,71,53,11893,21.034378,105.821861,16.72
charge_2026-12-13T044240516113Z_3616_109be736,2026-12-13T04:42:40.516113Z,2026-12-13T08:08:52.516113Z,16,80,64,12372,21.034338,105.821757,18.92
charge_2026-12-17T013329598093Z_1394_19d67f0b,2026-12-17T01:33:29.598093Z,2026-12-17T05:58:23.598093Z,15,92,77,15894,21.034373,105.821753,21.46
charge_2026-12-18T134610504451Z_2719_964e6095,2026-12-18T13:46:10.504451Z,2026-12-18T15:25:10.504451Z,27,54,27,5940,21.034388,105.821805,16.53
charge_2026-12-19T051905643847Z_9908_b99ececa,2026-12-19T05:19:05.643847Z,2026-12-19T09:58:43.643847Z,12,94,82,16778,21.034372,105.821823,20.92
charge_2026-12-22T194248787908Z_9942_a5d4f0c8,2026-12-22T19:42:48.787908Z,2026-12-22T21:03:09.787908Z,60,82,22,4821,21.034435,105.821789,21.88
charge_2026-12-25T055824866612Z_3987_72f612c9,2026-12-25T05:58:24.866612Z,2026-12-25T10:03:31.866612Z,13,82,69,14707,21.03441,105.821837,17.22
charge_2026-12-25T140331437022Z_5824_9417e677,2026-12-25T14:03:31.866612Z,2026-12-25T18:32:00.866612Z,25,100,75,16109,21.034404,105.821907,21.39
charge_2026-12-26T035013836403Z_5136_cb806125,2026-12-26T03:50:13.836403Z,2026-12-26T04:52:37.836403Z,20,40,20,3744,21.034369,105.82176,20.15
charge_2026-12-27T033023943345Z_1940_d4545039,2026-12-27T03:30:23.943345Z,2026-12-27T06:55:53.943345Z,42,100,58,12330,21.034377,105.82176,21.95
charge_2026-12-30T225505908436Z_3215_e4aa2efe,2026-12-30T22:55:05.908436Z,2026-12-31T00:17:43.908436Z,57,79,22,4958,21.034345,105.821817,17.19
charge_2026-12-31T150620629583Z_7509_e0a12513,2026-12-31T15:06:20.629583Z,2026-12-31T17:02:23.629583Z,29,62,33,6963,21.03449,105.821827,17.05
charge_2026-12-31T210223698132Z_6306_9377294a,2026-12-31T21:02:23.629583Z,2027-01-01T00:28:54.629583Z,22,79,57,12391,21.034392,105.821806,20.08
charge_2027-01-01T202103739868Z_4637_0fc9b6df,2027-01-01T20:21:03.739868Z,2027-01-01T22:05:38.739868Z,23,54,31,6275,21.034401,105.821798,29.27
charge_2027-01-03T193550572230Z_3162_f639a148,2027-01-03T19:35:50.572230Z,2027-01-03T23:09:18.572230Z,34,100,66,12808,21.034422,105.821754,27.27
charge_2027-01-04T191204279815Z_9559_450b6af3,2027-01-04T19:12:04.279815Z,2027-01-05T00:03:08.279815Z,17,97,80,17464,21.034372,105.821731,24.33
charge_2027-01-08T124314537440Z_3313_7a2eedc0,2027-01-08T12:43:14.537440Z,2027-01-08T17:34:44.537440Z,14,100,86,17490,21.034293,105.821767,27.01
charge_2027-01-09T030645842069Z_763_3c56da5f,2027-01-09T03:06:45.842069Z,2027-01-09T04:10:18.842069Z,63,82,19,3813,21.034262,105.821744,24.14
charge_2027-01-10T061849376321Z_8694_832a5d39,2027-01-10T06:18:49.376321Z,2027-01-10T10:13:58.376321Z,15,91,76,14109,21.03442,105.821853,29.67
charge_2027-01-12T224250167816Z_8550_0b528895,2027-01-12T22:42:50.167816Z,2027-01-13T03:08:12.167816Z,14,80,66,15922,21.034378,105.821889,28.46
charge_2027-01-13T070812950503Z_6684_697c2b08,2027-01-13T07:08:12.167816Z,2027-01-13T08:07:52.167816Z,13,30,17,3580,21.034501,105.82179,26.89
charge_2027-01-13T060208825630Z_6968_a1d9fb4d,2027-01-13T06:02:08.825630Z,2027-01-13T08:58:41.825630Z,34,80,46,10593,21.034398,105.82178,31.07
charge_2027-01-14T015035408920Z_5991_06408583,2027-01-14T01:50:35.408920Z,2027-01-14T04:46:17.408920Z,31,79,48,10542,21.034468,105.821836,26.91
